"segment_filename","basefile","black_flag","age","female_flag","source","duration","wordcount","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"HUM_9_26","HUM_9",0,30,1,"HUM",6.00099999999986,20,0.1,0,0.05,0,0.05
"HUM_9_27","HUM_9",0,30,1,"HUM",21.2769999999999,54,0.111111111,0.055555556,0.092592593,0.037037037,0.12962963
"HUM_9_28","HUM_9",0,30,1,"HUM",36.9300000000001,110,0.154545455,0.172727273,0.136363636,0.1,0.181818182
"HUM_9_29","HUM_9",0,30,1,"HUM",16.283,67,0.179104478,0.223880597,0.059701493,0.149253731,0.179104478
"HUM_9_30","HUM_9",0,30,1,"HUM",12.85,47,0.170212766,0.170212766,0.14893617,0.085106383,0.14893617
"HUM_9_31","HUM_9",0,30,1,"HUM",6.06299999999999,21,0,0.142857143,0,0,0.238095238
"HUM_9_32","HUM_9",0,30,1,"HUM",6.34599999999989,22,0.272727273,0.363636364,0.272727273,0.136363636,0.272727273
"HUM_9_33","HUM_9",0,30,1,"HUM",16.075,50,0.06,0.18,0.14,0.12,0.16
"HUM_9_34","HUM_9",0,30,1,"HUM",18.104,54,0.222222222,0.185185185,0.12962963,0.092592593,0.37037037
"HUM_9_35","HUM_9",0,30,1,"HUM",10.3810000000001,36,0.083333333,0.055555556,0.027777778,0.027777778,0.055555556
"HUM_9_36","HUM_9",0,30,1,"HUM",22.3130000000001,77,0.038961039,0.077922078,0.051948052,0.051948052,0.090909091
"HUM_9_37","HUM_9",0,30,1,"HUM",6.61400000000003,28,0.214285714,0.178571429,0.142857143,0.214285714,0.285714286
"HUM_9_38","HUM_9",0,30,1,"HUM",10.1389999999999,24,0.125,0.125,0.083333333,0.208333333,0.125
"HUM_9_40","HUM_9",0,30,1,"HUM",6.1869999999999,11,0.181818182,0.181818182,0,0.181818182,0.272727273
"HUM_9_41","HUM_9",0,30,1,"HUM",8.48199999999997,17,0,0.058823529,0,0,0
"HUM_9_42","HUM_9",0,30,1,"HUM",5.83100000000013,17,0.117647059,0.117647059,0.058823529,0.117647059,0.294117647
"HUM_9_43","HUM_9",0,30,1,"HUM",6.30399999999986,21,0,0.19047619,0,0.047619048,0.19047619
"HUM_9_44","HUM_9",0,30,1,"HUM",9.71000000000004,39,0.256410256,0.230769231,0.256410256,0.179487179,0.179487179
"HUM_9_45","HUM_9",0,30,1,"HUM",6.18500000000017,33,0.121212121,0.151515152,0.060606061,0.03030303,0.151515152
"HUM_9_46","HUM_9",0,30,1,"HUM",11.8579999999997,42,0.166666667,0.261904762,0.166666667,0.071428571,0.095238095
"HUM_9_47","HUM_9",0,30,1,"HUM",5.48000000000002,20,0.05,0.15,0.1,0.1,0.05
"HUM_9_48","HUM_9",0,30,1,"HUM",8.05499999999984,17,0.058823529,0.058823529,0.117647059,0.058823529,0.058823529
"HUM_9_49","HUM_9",0,30,1,"HUM",5.07200000000012,23,0.130434783,0.130434783,0.130434783,0.043478261,0.130434783
"HUM_9_50","HUM_9",0,30,1,"HUM",6.17899999999986,20,0.15,0.1,0.15,0.1,0.1
"HUM_9_52","HUM_9",0,30,1,"HUM",5.76099999999997,15,0,0,0.333333333,0,0.133333333
"HUM_9_53","HUM_9",0,30,1,"HUM",6.85899999999992,21,0.333333333,0.095238095,0.095238095,0.095238095,0.333333333
"HUM_9_54","HUM_9",0,30,1,"HUM",9.27099999999996,30,0.1,0.166666667,0.1,0.066666667,0.1
"HUM_9_55","HUM_9",0,30,1,"HUM",7.01099999999997,9,0,0.222222222,0,0,0.222222222
"HUM_9_56","HUM_9",0,30,1,"HUM",19.4950000000001,35,0.257142857,0.285714286,0.2,0.171428571,0.457142857
"HUM_9_57","HUM_9",0,30,1,"HUM",13.9200000000001,43,0.11627907,0.11627907,0.093023256,0.046511628,0.093023256
"HUM_9_58","HUM_9",0,30,1,"HUM",21.8,57,0.105263158,0.105263158,0.122807018,0.105263158,0.140350877
"HUM_9_59","HUM_9",0,30,1,"HUM",6.25999999999999,27,0.259259259,0.111111111,0.111111111,0.111111111,0.185185185
"HUM_9_60","HUM_9",0,30,1,"HUM",8.03899999999999,37,0.243243243,0.135135135,0.081081081,0.081081081,0.243243243
"HUM_9_61","HUM_9",0,30,1,"HUM",25.03,96,0.083333333,0.083333333,0.072916667,0.03125,0.114583333
"HUM_9_62","HUM_9",0,30,1,"HUM",36.3539999999998,100,0.06,0.1,0.1,0.04,0.11
"HUM_9_63","HUM_9",0,30,1,"HUM",10.0709999999999,26,0.192307692,0.153846154,0.153846154,0.192307692,0.269230769
"HUM_9_64","HUM_9",0,30,1,"HUM",7.4820000000002,22,0,0,0,0.045454545,0
"HUM_9_65","HUM_9",0,30,1,"HUM",37.2340000000002,121,0.115702479,0.148760331,0.090909091,0.074380165,0.123966942
"HUM_9_66","HUM_9",0,30,1,"HUM",10.4450000000002,30,0.1,0.1,0.066666667,0.066666667,0.066666667
"HUM_9_67","HUM_9",0,30,1,"HUM",16.3070000000002,63,0.158730159,0.206349206,0.095238095,0.126984127,0.095238095
"HUM_9_68","HUM_9",0,30,1,"HUM",14.5379999999996,33,0.090909091,0.060606061,0.03030303,0.03030303,0.060606061
"HUM_9_69","HUM_9",0,30,1,"HUM",7.60900000000038,12,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333
"HUM_9_70","HUM_9",0,30,1,"HUM",18.7129999999997,62,0.112903226,0.129032258,0.048387097,0.064516129,0.161290323
"HUM_9_71","HUM_9",0,30,1,"HUM",14.2059999999997,19,0.210526316,0.157894737,0.105263158,0,0.157894737
"HUM_9_72","HUM_9",0,30,1,"HUM",5.55499999999984,16,0.0625,0,0,0,0.1875
"HUM_9_73","HUM_9",0,30,1,"HUM",15.8400000000001,52,0.076923077,0.096153846,0.096153846,0.076923077,0.115384615
"HUM_9_74","HUM_9",0,30,1,"HUM",6.80499999999984,30,0.033333333,0.066666667,0.066666667,0.033333333,0.033333333
"HUM_9_75","HUM_9",0,30,1,"HUM",16.8190000000004,41,0.12195122,0.170731707,0.097560976,0.12195122,0.097560976
"HUM_9_76","HUM_9",0,30,1,"HUM",5.06399999999985,13,0.076923077,0.076923077,0.307692308,0.153846154,0.153846154
"HUM_9_77","HUM_9",0,30,1,"HUM",15.5219999999999,51,0.078431373,0.156862745,0.058823529,0.019607843,0.098039216
"HUM_9_78","HUM_9",0,30,1,"HUM",8.64600000000019,26,0.115384615,0.076923077,0.115384615,0.076923077,0.076923077
"HUM_9_79","HUM_9",0,30,1,"HUM",5.68200000000024,13,0.153846154,0.230769231,0.230769231,0.307692308,0.230769231
"HUM_9_80","HUM_9",0,30,1,"HUM",6.73199999999997,13,0.076923077,0,0,0.076923077,0.076923077
"HUM_9_81","HUM_9",0,30,1,"HUM",6.26099999999997,17,0.117647059,0.235294118,0.058823529,0.117647059,0.176470588
"HUM_9_82","HUM_9",0,30,1,"HUM",11.5989999999997,15,0.2,0.6,0.533333333,0.466666667,0.533333333
"HUM_9_83","HUM_9",0,30,1,"HUM",21.3440000000005,13,0.384615385,0.615384615,0.307692308,0.307692308,0.307692308
"HUM_9_84","HUM_9",0,30,1,"HUM",8.84400000000051,29,0.310344828,0.413793103,0.275862069,0.206896552,0.24137931
"HUM_9_85","HUM_9",0,30,1,"HUM",6.84799999999996,27,0.148148148,0.259259259,0.259259259,0.185185185,0.259259259
"HUM_9_86","HUM_9",0,30,1,"HUM",8.20400000000018,30,0.066666667,0.066666667,0.133333333,0.033333333,0.033333333
"HUM_9_87","HUM_9",0,30,1,"HUM",5.79099999999971,14,0.142857143,0.071428571,0.071428571,0.071428571,0.071428571
"HUM_9_88","HUM_9",0,30,1,"HUM",6.77599999999984,15,0,0.066666667,0.066666667,0.066666667,0
"HUM_9_89","HUM_9",0,30,1,"HUM",8.76800000000003,19,0.052631579,0.052631579,0.105263158,0,0.263157895
"HUM_9_90","HUM_9",0,30,1,"HUM",9.9369999999999,23,0.130434783,0.260869565,0.086956522,0.173913043,0.217391304
"HUM_9_91","HUM_9",0,30,1,"HUM",5.25199999999995,20,0.1,0.1,0.05,0.05,0.1
"HUM_9_92","HUM_9",0,30,1,"HUM",7.38500000000022,18,0.055555556,0.111111111,0.055555556,0.055555556,0.111111111
"HUM_9_93","HUM_9",0,30,1,"HUM",25.3960000000006,86,0.139534884,0.151162791,0.11627907,0.104651163,0.139534884
"HUM_9_94","HUM_9",0,30,1,"HUM",14.9590000000003,39,0.102564103,0.153846154,0.153846154,0.128205128,0.128205128
"HUM_9_95","HUM_9",0,30,1,"HUM",11.3899999999999,13,0.153846154,0.153846154,0.153846154,0,0.307692308
"HUM_9_96","HUM_9",0,30,1,"HUM",13.3440000000005,25,0.16,0.12,0.08,0.2,0.2
"HUM_9_97","HUM_9",0,30,1,"HUM",10.7250000000004,24,0.041666667,0.083333333,0.041666667,0,0.166666667
"HUM_9_98","HUM_9",0,30,1,"HUM",5.89299999999957,10,0,0,0.2,0,0
"HUM_9_99","HUM_9",0,30,1,"HUM",39.0099999999998,92,0.054347826,0.054347826,0.054347826,0.097826087,0.141304348
"HUM_9_100","HUM_9",0,30,1,"HUM",37.4120000000003,118,0.127118644,0.13559322,0.110169492,0.076271186,0.186440678
"HUM_9_101","HUM_9",0,30,1,"HUM",7.5300000000002,14,0.357142857,0.428571429,0.357142857,0.357142857,0.428571429
"HUM_9_102","HUM_9",0,30,1,"HUM",5.09700000000021,14,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571
"HUM_9_103","HUM_9",0,30,1,"HUM",18.1550000000002,43,0.046511628,0.069767442,0.11627907,0.023255814,0.069767442
"HUM_9_104","HUM_9",0,30,1,"HUM",37.9579999999996,56,0.053571429,0.035714286,0.017857143,0.089285714,0.071428571
"HUM_9_105","HUM_9",0,30,1,"HUM",9.72599999999966,24,0.125,0,0.208333333,0.041666667,0
"HUM_9_106","HUM_9",0,30,1,"HUM",10.3710000000006,25,0.08,0.08,0.12,0.08,0.24
"HUM_9_107","HUM_9",0,30,1,"HUM",16.3699999999999,37,0.054054054,0.108108108,0.162162162,0.135135135,0.081081081
