"segment_filename","wordcount","phon_count","gram_count","source","age","female_flag","duration","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"ROC_se0_ag2_f_03_1_211669_223270.wav",36,0,0,"ROC",39,1,11.6012,0,0,0,0,0
"PRV_se0_ag3_f_02_2_1292288_1297951.wav",18,2,1,"PRV",40,1,5.6634,0.055555556,0.055555556,0.111111111,0.111111111,0.277777778
"ROC_se0_ag1_m_01_1_1473998_1493891.wav",50,5,1,"ROC",24,0,19.8932,0.28,0.32,0.18,0.16,0.26
"PRV_se0_ag3_m_01_1_1266334_1283477.wav",34,3,0,"PRV",64,0,17.1432,0.235294118,0.205882353,0.205882353,0.205882353,0.294117647
"ROC_se0_ag1_f_01_1_2685915_2720794.wav",96,2,0,"ROC",26,1,34.8796,0.052083333,0.15625,0.072916667,0.114583333,0.229166667
"DCB_se3_ag3_f_02_1_1643640_1664539.wav",67,3,0,"DCB",39,1,20.8995,0.23880597,0.28358209,0.223880597,0.268656716,0.343283582
"DCB_se3_ag4_f_02_1_1644310_1671638.wav",85,4,0,"DCB",54,1,27.3281,0.152941176,0.223529412,0.070588235,0.105882353,0.188235294
"PRV_se0_ag3_f_04_3_72404_78650.wav",7,2,1,"PRV",76,1,6.2461,0.857142857,1.142857143,0.428571429,0,0.714285714
"PRV_se0_ag3_f_02_1_141536_147530.wav",20,0,0,"PRV",40,1,5.994,0.15,0.35,0.2,0.2,0.35
"DCB_se3_ag3_f_02_1_2632973_2651557.wav",63,4,0,"DCB",39,1,18.5839,0.650793651,0.698412698,0.603174603,0.317460317,0.793650794
"PRV_se0_ag2_f_02_1_2410419_2419278.wav",26,2,2,"PRV",48,1,8.8592,0.730769231,0.769230769,0.615384615,0.692307692,0.769230769
"PRV_se0_ag3_m_03_1_1412830_1418584.wav",25,6,1,"PRV",83,0,5.7539,0.88,0.76,0.8,0.8,0.76
"ROC_se0_ag2_f_04_1_469678_515980.wav",169,1,0,"ROC",43,1,46.302,0.272189349,0.25443787,0.189349112,0.153846154,0.366863905
"PRV_se0_ag3_f_04_1_2296717_2302779.wav",9,1,0,"PRV",76,1,6.0615,0.111111111,0.777777778,0,0.222222222,0.555555556
"ROC_se0_ag2_f_03_1_379589_427006.wav",140,0,0,"ROC",39,1,47.4171,0.135714286,0.171428571,0.142857143,0.121428571,0.164285714
"PRV_se0_ag1_f_01_1_702727_714055.wav",32,1,5,"PRV",19,1,11.3279,0.1875,0.3125,0.25,0.15625,0.46875
"PRV_se0_ag2_f_02_2_777158_782721.wav",10,2,0,"PRV",48,1,5.5624,0.3,0.9,0.4,0.5,0.1
"ROC_se0_ag3_f_01_1_74615_80900.wav",15,0,0,"ROC",52,1,6.2852,0.066666667,0.266666667,0.133333333,0,0.2
"PRV_se0_ag3_f_02_1_1693504_1699318.wav",11,2,0,"PRV",40,1,5.8143,0,0.181818182,0.272727273,0,0
"ROC_se0_ag1_m_01_1_1997487_2005526.wav",10,0,0,"ROC",24,0,8.0393,0.1,0,0.2,0,0.4
"ROC_se0_ag1_m_02_1_1404369_1412561.wav",36,4,0,"ROC",27,0,8.1916,0.111111111,0.305555556,0.194444444,0.111111111,0.333333333
"DCB_se2_ag2_f_02_1_3630624_3662849.wav",115,2,0,"DCB",23,1,32.2242,0.260869565,0.173913043,0.173913043,0.113043478,0.269565217
"ROC_se0_ag1_m_03_1_2977116_2990720.wav",33,3,1,"ROC",25,0,13.604,0.090909091,0.363636364,0.181818182,0.424242424,0.363636364
"DCB_se1_ag3_f_01_1_333418_343444.wav",33,3,0,"DCB",42,1,10.0257,0.121212121,0.393939394,0.181818182,0.303030303,0.363636364
"ROC_se0_ag3_f_02_1_708252_721458.wav",38,4,1,"ROC",80,1,13.2064,0.131578947,0.263157895,0.184210526,0.184210526,0.184210526
"DCB_se2_ag2_f_02_1_1926109_1933405.wav",26,2,0,"DCB",23,1,7.2963,0.192307692,0.307692308,0.230769231,0.153846154,0.461538462
"ROC_se0_ag1_m_01_1_2542169_2591051.wav",134,1,0,"ROC",24,0,48.8813,0.194029851,0.231343284,0.223880597,0.156716418,0.246268657
"ROC_se0_ag3_f_02_1_2528873_2546883.wav",41,0,0,"ROC",80,1,18.0101,0.024390244,0.219512195,0.146341463,0.024390244,0.12195122
"PRV_se0_ag3_f_02_2_816661_829223.wav",47,8,0,"PRV",40,1,12.5627,0.553191489,0.468085106,0.404255319,0.468085106,0.446808511
"ROC_se0_ag2_f_03_1_39270_63728.wav",71,0,0,"ROC",39,1,24.4585,0.338028169,0.183098592,0.14084507,0.169014085,0.394366197
"DCB_se1_ag3_m_02_1_1458301_1496422.wav",105,13,0,"DCB",36,0,38.121,0.504761905,0.657142857,0.533333333,0.40952381,0.714285714
"DCB_se3_ag3_m_01_1_89698_106868.wav",52,1,0,"DCB",33,0,17.17,0.115384615,0.326923077,0.346153846,0.192307692,0.346153846
"PRV_se0_ag1_f_01_1_1086962_1100671.wav",43,3,1,"PRV",19,1,13.7088,0.302325581,0.720930233,0.348837209,0.23255814,0.395348837
"PRV_se0_ag1_f_01_1_1793116_1798463.wav",24,6,0,"PRV",19,1,5.3478,0.791666667,0.666666667,0.541666667,0.458333333,0.916666667
"DCB_se2_ag2_f_01_1_2793680_2811400.wav",71,8,0,"DCB",25,1,17.7202,0.61971831,0.464788732,0.422535211,0.338028169,0.704225352
"DCB_se2_ag3_f_02_1_2200823_2206816.wav",26,2,0,"DCB",31,1,5.9934,0.730769231,0.769230769,0.576923077,0.384615385,0.730769231
"DCB_se2_ag3_f_02_1_3026179_3071055.wav",164,12,3,"DCB",31,1,44.8758,0.280487805,0.402439024,0.237804878,0.25,0.384146341
"DCB_se2_ag2_f_02_1_176993_184247.wav",22,1,0,"DCB",23,1,7.2543,0.227272727,0.227272727,0.136363636,0.090909091,0.363636364
"DCB_se2_ag4_f_01_1_3578924_3594150.wav",43,3,0,"DCB",58,1,15.2255,0.255813953,0.302325581,0.302325581,0.255813953,0.465116279
"DCB_se1_ag3_f_02_2_541814_589575.wav",132,11,1,"DCB",38,1,47.7613,0.143939394,0.356060606,0.174242424,0.189393939,0.272727273
"ROC_se0_ag1_m_03_1_2731369_2750996.wav",37,0,1,"ROC",25,0,19.6269,0.351351351,0.243243243,0.243243243,0.162162162,0.27027027
